gift_id,price
GF_2372,75.25
GF_13040,246.02
GF_5754,31.096666666666664
GF_1417,76.28
GF_23204,21.41
GF_6367,195.14
GF_12918,93.91499999999999
GF_11930,33.303333333333335
GF_12664,108.47
GF_12666,108.47
GF_23838,33.3
GF_8594,39.855000000000004
GF_10190,100.75
GF_5251,179.45
GF_5744,37.46
GF_12315,200.72
GF_7510,121.6
GF_2647,39.68
GF_13184,46.75
GF_3163,98.67
GF_8269,90.0
GF_14270,56.58
GF_4153,1.49
GF_8117,47.25
GF_5936,33.92
GF_1704,58.695
GF_1707,58.695
GF_23660,14.29
GF_479,62.98
GF_9520,194.25
GF_1479,88.12
GF_22094,62.03
GF_4544,136.19
GF_4471,248.645
GF_10688,30.89
GF_477,61.9
GF_21972,43.79
GF_23532,68.26
GF_697,43.07
GF_10782,47.675
GF_13480,37.946666666666665
GF_978,217.97
GF_1731,111.25
GF_14348,55.13
GF_4670,77.54
GF_13774,24.71
GF_14019,18.38
GF_11891,65.83
GF_902,163.74
GF_8817,58.09
GF_6155,54.67
GF_4859,126.11
GF_23675,74.85
GF_10679,129.01
GF_2638,133.02
GF_6369,23.424999999999997
GF_21577,24.29
GF_662,150.79
GF_1623,61.91
GF_1823,30.25
GF_14714,27.77
GF_16333,105.5
GF_16335,38.13
GF_16334,38.13
GF_2183,121.4
GF_13463,104.78
GF_22523,26.025000000000002
GF_10838,206.365
GF_7491,72.78
GF_4535,20.29
GF_6528,27.38
GF_4892,117.22
GF_1635,19.26
GF_2692,23.89
GF_13146,41.90333333333333
GF_411,99.23
GF_1648,152.79
GF_1315,59.83
GF_5258,124.3
GF_12723,87.03
GF_2452,85.64
GF_2453,53.7
GF_9533,91.95
GF_21429,12.03
GF_20248,31.58
GF_17708,2.57
GF_4136,197.22
GF_5994,63.27
GF_5993,54.949999999999996
GF_19916,52.87
GF_1360,99.7
GF_17576,128.16
GF_2432,95.3
GF_10721,147.19
GF_2447,241.89
GF_11515,73.285
GF_15034,43.64
GF_2546,19.97
GF_6394,132.33
GF_9686,86.17
GF_13171,100.375
GF_11831,64.69
GF_11832,10.83
GF_16703,72.97
GF_6277,145.035
GF_9349,40.12
GF_8239,156.29
GF_12978,105.26
GF_16110,126.05
GF_3676,118.54
GF_19854,108.58
GF_286,159.34
GF_3493,6.65
GF_3908,62.87
GF_9046,134.4
GF_14359,30.77
GF_14344,100.85
GF_4770,50.94
GF_8871,248.645
GF_10006,80.68
GF_14938,52.11
GF_6670,145.8
GF_17707,101.81
GF_11976,32.92
GF_19359,53.73
GF_7879,22.29
GF_22858,248.645
GF_7420,248.645
GF_19004,24.23
GF_5545,117.17
GF_5546,133.44
GF_11514,78.8
GF_23656,26.936153846153843
GF_304,248.645
GF_23535,248.645
GF_2408,56.43
GF_14744,107.56
GF_10960,148.93
GF_16759,148.93
GF_21428,121.35
GF_6637,16.69
GF_3499,100.39
GF_16650,13.63
GF_3909,18.38
GF_5612,65.97
GF_15265,175.64
GF_10773,21.06
GF_7107,155.96
GF_13098,136.65
GF_2747,64.76
GF_15383,248.645
GF_12289,49.57
GF_2544,42.01
GF_13801,5.28
GF_8872,36.59
GF_13326,64.69
GF_585,25.51
GF_11971,15.669999999999998
GF_5125,7.98
GF_13290,38.45
GF_6157,189.09
GF_12257,87.87
GF_1207,110.21
GF_23806,52.81
GF_7512,26.1
GF_20247,117.04
GF_9104,248.645
GF_183,80.28
GF_6232,161.29
GF_12255,70.53
GF_15967,52.87
GF_530,7.02
GF_3491,145.8
GF_9451,85.0
GF_9918,125.89
GF_13800,69.83
GF_13170,141.39
GF_584,129.22
GF_2314,67.13
GF_4782,76.78
GF_482,62.98
GF_4806,187.81
GF_5933,184.59
GF_1347,122.12
GF_8346,25.01
GF_9697,14.933999999999997
GF_9692,14.933999999999997
GF_1465,206.16
GF_10019,116.87
GF_5750,61.86
GF_1036,7.96
GF_7484,65.25
GF_7477,72.505
GF_8313,57.69
GF_2330,51.67
GF_12287,28.52
GF_9326,36.04
GF_13489,18.98
GF_8223,150.46
GF_6632,36.04
GF_23094,76.96
GF_12812,168.5
GF_4831,61.75
GF_2236,98.1
GF_23183,29.61
GF_10888,100.73
GF_12151,19.82
GF_7184,119.69
GF_7447,41.77
GF_4140,53.75
GF_6250,82.11
GF_4935,248.645
GF_1021,78.31
GF_2354,46.88
GF_5839,135.71
GF_14895,7.66
GF_664,94.61
GF_9747,76.54
GF_2556,100.73
GF_4221,35.88
GF_2184,13.94
GF_14,65.97
GF_6136,128.19
GF_32,86.65
GF_10159,84.82
GF_1636,19.26
GF_14483,93.49
GF_11188,94.035
GF_9720,30.86
GF_13518,51.7
GF_22042,62.73
GF_2648,46.8
GF_14385,54.04
GF_12224,112.92
GF_4152,47.42
GF_13838,86.23
GF_5520,67.88
GF_6987,89.03
GF_10394,51.74
GF_7414,55.71
GF_5507,68.65
GF_5633,248.645
GF_7387,248.645
GF_19012,223.34
GF_7972,64.27
GF_6851,214.51
GF_5856,127.9
GF_23569,90.04
GF_4546,87.63
GF_12231,110.74
GF_4179,88.1
GF_7478,72.505
GF_8108,34.93
GF_1744,68.61
GF_9328,63.61
GF_10380,99.08
GF_14094,23.07
GF_12386,65.37
GF_333,47.05
GF_401,60.09
GF_12588,68.78
GF_2237,158.84
GF_1144,49.83
GF_23182,29.61
GF_1148,158.035
GF_13750,25.48
GF_13776,65.34
GF_5815,248.645
GF_14894,39.73
GF_12919,31.4
GF_4220,136.12
GF_23840,33.3
GF_10803,68.53
GF_10802,74.5
GF_11734,46.39
GF_34,28.72
GF_7134,73.12
GF_4498,101.27
GF_5566,71.26
GF_15850,25.33
GF_7509,121.6
GF_10958,100.485
GF_8352,62.85
GF_3159,130.84
GF_4743,146.42
GF_13837,86.23
GF_5260,65.12
GF_9211,66.09
GF_11071,103.83
GF_13325,36.61
GF_8538,63.15
GF_1276,30.224999999999998
GF_9693,14.933999999999997
GF_9695,14.933999999999997
GF_9358,36.24
GF_16392,26.16
GF_8217,65.72
GF_605,60.41
GF_7023,43.93
GF_610,58.77
GF_998,35.82
GF_1301,73.38
GF_4466,248.645
GF_1733,52.36
GF_13515,66.14
GF_4869,217.69
GF_6635,19.46
GF_5739,120.13499999999999
GF_7674,98.92
GF_6998,47.835
GF_5523,128.19
GF_4915,27.69
GF_22760,29.97
GF_23755,37.62
GF_14075,66.07
GF_5961,41.2
GF_1686,52.0
GF_6370,23.424999999999997
GF_12917,31.4
GF_12916,93.91499999999999
GF_9848,31.86
GF_5165,102.98
GF_10840,41.21
GF_760,98.79
GF_5139,64.34
GF_23803,248.645
GF_9485,75.67
GF_13450,39.51
GF_9721,57.44
GF_8353,62.85
GF_9908,85.07
GF_13554,202.5
GF_8259,33.92
GF_2477,36.595
GF_1709,58.695
GF_15942,138.66
GF_1937,104.44
GF_5747,103.26
GF_7846,103.81
GF_12015,80.03
GF_702,27.77
GF_9327,63.61
GF_9786,133.11
GF_18765,27.5
GF_9639,52.35
GF_23982,243.36
GF_14076,66.07
GF_1949,38.58
GF_1146,57.84
GF_4553,21.06
GF_10351,47.58
GF_1610,40.88
GF_10414,60.72
GF_7185,153.55
GF_23673,74.12
GF_2391,79.49
GF_22221,30.08
GF_5166,42.72
GF_14257,33.69
GF_10805,68.53
GF_6331,24.46
GF_6527,85.12
GF_5253,25.703333333333333
GF_5140,84.79
GF_22827,84.82
GF_11186,69.27
GF_12508,66.55
GF_10433,52.185
GF_1818,40.15
GF_4445,152.77
GF_413,72.515
GF_9102,63.27
GF_24563,40.79
GF_11844,25.33
GF_6986,46.47
GF_6623,77.04
GF_22914,56.07
GF_19013,223.34
GF_1705,58.695
GF_4092,122.87
GF_11800,52.36
GF_5182,93.84
GF_7181,194.25
GF_1274,75.08
GF_11066,42.4
GF_17950,248.645
GF_7978,87.91
GF_4604,37.16
GF_23530,62.915000000000006
GF_10783,47.675
GF_996,98.89
GF_23743,86.93
GF_6461,137.66
GF_23096,50.14
GF_14092,234.29250000000002
GF_1905,56.63
GF_23986,47.153333333333336
GF_12586,68.78
GF_23158,27.169999999999998
GF_12513,101.27
GF_340,26.95
GF_7529,181.14
GF_12150,19.82
GF_7183,153.96
GF_562,47.14
GF_565,33.11
GF_6650,248.645
GF_2637,47.95
GF_22963,37.18
GF_23651,59.48
GF_14256,43.8
GF_14108,117.15
GF_7136,1.38
GF_10462,107.33
GF_1634,238.73
GF_23586,25.36
GF_11187,64.34
GF_13519,142.41
GF_9191,175.26
GF_14272,153.07
GF_415,72.515
GF_8270,90.0
GF_13857,41.97
GF_14268,53.64
GF_13835,205.45000000000002
GF_5261,65.12
GF_5262,65.12
GF_5259,124.3
GF_900,36.595
GF_12819,20.255000000000003
GF_23657,26.936153846153843
GF_23398,38.94
GF_2202,5.96
GF_4783,37.18
GF_23397,82.78
GF_13754,11.085
GF_4299,194.25
GF_14454,57.01
GF_24409,7.67
GF_7390,54.04
GF_21249,66.92
GF_13803,52.61
GF_11799,65.49
GF_22253,91.18
GF_8,141.02
GF_2574,158.94
GF_16394,14.29
GF_8216,157.11
GF_5755,213.55
GF_5757,165.74
GF_10317,26.16
GF_15854,56.88
GF_6302,248.645
GF_701,51.57
GF_8111,45.59
GF_8528,114.54
GF_14349,55.13
GF_9757,50.26
GF_5741,120.13499999999999
GF_4697,81.35
GF_4150,70.53
GF_14945,100.41
